Super lemma,PoS,Count,Percent,Lemma(ta),Word form(s),Dubium,Disambiguation status
suus,Pronoun,79,3.686,suus(79),sua(19) suae(3) suam(13) suas(2) sui(12) suis(2) suo(11) suos(1) suum(11) suus(5),,green
episcopus,Noun,55,2.566,episcopus(55),episcopi(24) episcopis(3) episcopo(7) episcoporum(2) episcopos(3) episcopum(4) episcopus(12),,green
habeo,Verb,52,2.427,habeo(52),habeant(8) habeat(17) habebit(1) habemus(1) habent(6) habere(6) habet(8) habuerit(2) habuit(3),,green
accipio,Verb,48,2.24,accipio(48),acceperit(8) accepit(10) accepta(3) accipere(6) accipiant(4) accipiat(16) accipiens(1),,green
facio,Verb,42,1.96,facio(42),facere(7) faciant(4) faciat(12) faciatis(2) facienda(1) faciendum(1) faciente(1) facta(1) factum(3) fecerint(1) fecerit(3) fecissent(1) fecit(5),,green
vir,Noun,36,1.68,vir(36),vir(19) viri(7) viris(2) viro(3) virorum(1) viros(1) virum(3),,green
alius,Pronoun,31,1.447,alius(31),alia(2) aliam(14) aliis(3) alio(4) alios(3) alium(5),,green
uxor,Noun,24,1.12,uxor(24),uxor(5) uxore(3) uxorem(13) uxores(1) uxoris(2),,green
rex,Noun,23,1.073,rex(23),rege(6) regem(4) regi(1) regis(5) rex(7),,green
dominus,Noun,23,1.073,dominus(8) domnus(15),domini(2) domino(4) dominus(2) domni(1) domno(7) domnum(3) domnus(4),,green
homo,Noun,22,1.027,homo(22),hominem(1) homines(4) hominibus(2) hominis(1) homo(14),,green
mulier,Noun,22,1.027,mulier(22),mulier(9) muliere(2) mulierem(9) mulieres(1) mulieris(1),,green
venio,Verb,21,0.98,venio(21),venerint(1) venerit(4) venerunt(1) veniant(4) veniat(2) venientes(1) venire(7) venit(1),,green
causa,Noun,21,0.98,causa(21),causa(11) causam(1) causas(5) causis(4),,green
ecclesia,Noun,21,0.98,aecclesia(4) ecclesia(16) eclesia(1),aecclesia(1) aecclesiae(3) ecclesia(4) ecclesiae(4) ecclesiam(4) ecclesiarum(3) ecclesias(1) eclesias(1),,green
presbyter,Noun,19,0.887,presbiter(6) presbyter(13),presbiter(3) presbiteri(2) presbiterorum(1) presbyter(3) presbyteri(3) presbyteris(2) presbytero(1) presbyteros(1) presbyterum(3),,green
dimitto,Verb,19,0.887,dimitto(19),dimiserit(4) dimisit(1) dimissa(2) dimittant(1) dimittat(7) dimittens(1) dimittere(2) dimittunt(1),,green
synodus,Noun,18,0.84,sinodus(15) synodus(3),sinodo(7) sinodum(5) sinodus(3) synodum(2) synodus(1),,green
debeo,Verb,18,0.84,debeo(18),debeant(7) debeat(5) debent(3) debere(1) debet(2),,green
emendo,Verb,16,0.747,emendo(16),emendamus(2) emendandum(1) emendare(12) emendentur(1),,green
femina,Noun,15,0.7,femina(14) foemina(1),femina(11) feminae(1) feminis(2) foeminae(1),,green
monasterium,Noun,15,0.7,monasterium(15),monasteria(4) monasterio(5) monasterium(6),,green
similiter,Adverb,15,0.7,similiter(15),similiter(15),,green
deus,Noun,15,0.7,deus(15),dei(6) deo(3) deum(5) deus(1),,green
parochia,Noun,14,0.653,parrochia(14),parrochia(13) parrochias(1),,green
maneo,Verb,14,0.653,maneo(14),maneant(2) manet(2) manserit(1) mansisset(6) mansit(3),,green
vivo,Verb,13,0.607,vivo(13),vivant(3) vivat(1) vivente(1) vivere(2) vivet(1) vivit(1) vivunt(3) vixerunt(1),,green
clericus,Noun,13,0.607,clericus(13),clerici(2) clericis(2) clericos(2) clericum(4) clericus(3),,green
do,Verb,12,0.56,do(12),damus(1) dare(2) dat(1) dederit(3) dedimus(1) dedit(3) det(1),,green
separo,Verb,12,0.56,separo(12),separamus(3) separantur(1) separari(1) separati(1) separaverint(1) separentur(4) separetur(1),,green
necessitas,Noun,11,0.513,necessitas(11),necessitas(3) necessitate(8),,green
canonicus,Adjective,11,0.513,canonicus(11),canonica(3) canonicam(8),,green
omnis,Adjective,11,0.513,omnis(11),omnes(7) omni(1) omnia(1) omnibus(2),,green
constituo,Verb,11,0.513,constituo(11),constituatur(1) constituerit(2) constituimus(6) constitutum(2),,green
filia,Noun,10,0.467,filia(10),filia(9) filiam(1),,green
lex,Noun,10,0.467,lex(10),legem(7) legis(1) lex(2),,green
res,Noun,10,0.467,res(10),re(1) rebus(2) rem(1) rerum(1) res(5),,green
servus,Noun,10,0.467,servus(10),servis(1) servo(1) servorum(1) servum(2) servus(5),,green
sanctus,Adjective,10,0.467,sanctus(10),sancta(1) sanctae(2) sanctam(1) sanctissima(1) sancto(2) sanctorum(2) sanctum(1),,green
laicus,Noun,9,0.42,laicus(9),laicis(1) laicorum(5) laicus(3),,green
ordo,Noun,9,0.42,ordo(9),ordine(5) ordinem(4),,green
tempus,Noun,9,0.42,tempus(9),tempora(1) temporaque(1) tempore(5) temporibus(1) tempus(1),,green
noster,Pronoun,9,0.42,noster(9),nostra(2) nostras(1) nostri(1) nostris(1) nostro(2) nostrum(2),,green
dico,Verb,9,0.42,dico(9),dicit(4) dicunt(1) diximus(1) dixistis(1) dixit(2),,green
vero,Conjunction,9,0.42,vero(9),vero(9),,green
invenio,Verb,9,0.42,invenio(9),inveniatur(1) invenit(3) inveniuntur(2) inventi(2) inventus(1),,green
permaneo,Verb,9,0.42,permaneo(9),permaneat(7) permanere(2),,green
abbas,Noun,9,0.42,abas(1) abba(1) abbas(7),abates(1) abba(1) abbas(2) abbates(3) abbatis(2),,green
ancilla,Noun,9,0.42,ancilla(9),ancilla(3) ancillam(5) ancillis(1),,green
licentia,Noun,8,0.373,licencia(2) licentia(6),licenciam(2) licentiam(6),,green
locus,Noun,8,0.373,locum(1) locus(7),loca(1) loco(2) locum(5),,green
mater,Noun,8,0.373,mater(8),mater(1) matre(5) matrem(1) matris(1),,green
modus,Noun,8,0.373,modus(8),modis(1) modo(6) modus(1),,green
palatium,Noun,8,0.373,palacium(3) palatium(5),palacium(3) palatio(2) palatium(3),,green
excommunico,Verb,8,0.373,excommunico(8),excommunicatum(1) excommunicatus(3) excommunicentur(1) excommunicetur(3),,green
iudico,Verb,8,0.373,iudico(8),iudicamus(1) iudicassent(3) iudicat(1) iudicaverint(1) iudicent(1) iudicentur(1),,green
capitulum,Noun,8,0.373,capitulum(8),cap(3) capitula(1) capitulis(1) capitulo(3),,green
pater,Noun,7,0.327,pater(7),pater(3) patri(1) patris(1) patrum(2),,green
potestas,Noun,7,0.327,potestas(7),potestate(3) potestatem(4),,green
senex,Noun,7,0.327,senior(7),senior(2) seniore(2) seniorem(1) senioribus(1) senioris(1),,green
solidus,Noun,7,0.327,solidus(7),solidi(1) solidis(1) solidos(4) solidum(1),,green
soror,Noun,7,0.327,soror(7),soror(1) sorore(1) sorores(1) sororibus(3) sororis(1),,green
alter,Adjective,7,0.327,alter(7),alterius(4) alterum(3),,green
publicus,Adjective,7,0.327,publicus(7),publica(1) publicas(1) publicis(1) publico(1) publicum(3),,green
cogo,Verb,7,0.327,cogo(7),cogatur(1) cogente(6),,green
